ranking,full name,ceo,sector,industry,hq location,hq address,website
210,Kellogg Company,John A. Bryant,"Food, Beverages & Tobacco",Food Consumer Products,"Battle Creek, MI",1 Kellogg Sq.,http://www.kelloggcompany.com
211,Loews Corporation,James S. Tisch,Financials,Insurance: Property and Casualty (Stock),"New York, NY",667 Madison Ave.,http://www.loews.com
212,CBS Corporation,Leslie Moonves,Media,Entertainment,"New York, NY",51 W. 52nd St.,http://www.cbscorporation.com
213,Ecolab Inc.,Douglas M. Baker Jr.,Chemicals,Chemicals,"St. Paul, MN",370 Wabasha St. N.,http://www.ecolab.com
214,"Whole Foods Market, Inc.","John P. Mackey, Walter Robb",Food & Drug Stores,Food and Drug Stores,"Austin, TX",550 Bowie St.,http://www.wholefoodsmarket.com
215,The Chubb Corporation,John D. Finnegan,Financials,Insurance: Property and Casualty (Stock),"Warren, NJ",15 Mountain View Rd.,http://www.chubb.com
216,"Health Net, Inc.",Jay M. Gellert,Health Care,Health Care: Insurance and Managed Care,"Woodland Hills, CA",21650 Oxnard St.,http://www.healthnet.com
217,"Waste Management, Inc.",David P. Steiner,Business Services,Waste Management,"Houston, TX",1001 Fannin St.,http://www.wm.com
218,Apache Corporation,John J. Christmann IV,Energy,"Mining, Crude-Oil Production","Houston, TX",2000 Post Oak Blvd.,http://www.apachecorp.com
219,Textron Inc.,Scott C. Donnelly,Aerospace & Defense,Aerospace and Defense,"Providence, RI",40 Westminster St.,http://www.textron.com
220,Synnex Corporation,Kevin M. Murai,Wholesalers,Wholesalers: Electronics and Office Equipment,"Fremont, CA",44201 Nobel Dr.,http://www.synnex.com
221,"Marriott International, Inc.",Arne M. Sorenson,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts","Bethesda, MD",10400 Fernwood Rd.,http://www.marriott.com
222,Viacom Inc.,Philippe P. Dauman,Media,Entertainment,"New York, NY",1515 Broadway,http://www.viacom.com
223,Lincoln National Corporation,Dennis R. Glass,Financials,"Insurance: Life, Health (stock)","Radnor, PA",150 N. Radnor Chester Rd.,http://www.lfg.com
224,"Nordstrom, Inc.",Blake W. Nordstrom,Retailing,General Merchandisers,"Seattle, WA",1617 Sixth Ave.,http://www.nordstrom.com
225,"C. H. Robinson Worldwide, Inc.",John P. Wiehoff,Transportation,Transportation and Logistics,"Eden Prairie, MN",14701 Charlson Rd.,http://www.chrobinson.com
226,Edison International,Theodore F. Craver Jr.,Energy,Utilities: Gas and Electric,"Rosemead, CA",2244 Walnut Grove Ave.,http://www.edisoninvestor.com
227,Marathon Oil Corporation,Lee M. Tillman,Energy,"Mining, Crude-Oil Production","Houston, TX",5555 San Felipe St.,http://www.marathonoil.com
228,"Yum! Brands, Inc.",Greg Creed,"Hotels, Resturants & Leisure",Food Services,"Louisville, KY",1441 Gardiner Lane,http://www.yum.com
229,Computer Sciences Corporation,J. Michael Lawrie,Technology,Information Technology Services,"Falls Church, VA",3170 Fairview Park Dr.,http://www.csc.com
230,Parker-Hannifin Corporation,Thomas L. Williams,Industrials,Industrial Machinery,"Cleveland, OH",6035 Parkland Blvd.,http://www.parker.com
231,DaVita HealthCare Partners Inc.,Kent J. Thiry,Health Care,Health Care: Medical Facilities,"Denver, CO",2000 16th St.,http://www.davita.com
232,"CarMax, Inc.",Thomas J. Folliard,Retailing,"Automotive Retailing, Services","Richmond, VA",12800 Tuckahoe Creek Pkwy.,http://www.carmax.com
233,Texas Instruments Incorporated,Richard K. Templeton,Technology,Semiconductors and Other Electronic Components,"Dallas, TX",12500 TI Blvd.,http://www.ti.com
234,"WellCare Health Plans, Inc.",Kenneth A. Burdick,Health Care,Health Care: Insurance and Managed Care,"Tampa, FL",8725 Henderson Rd.,http://www.wellcare.com
235,"Marsh & McLennan Companies, Inc.",Daniel S. Glaser,Financials,Diversified Financials,"New York, NY",1166 Ave. of the Americas,http://www.mmc.com
236,"Consolidated Edison, Inc.",John McAvoy,Energy,Utilities: Gas and Electric,"New York, NY",4 Irving Place,http://www.conedison.com
237,"ONEOK, Inc.",Terry K. Spencer,Energy,Pipelines,"Tulsa, OK",100 W. Fifth St.,http://www.oneok.com
238,Visa Inc.,Charles W. Scharf,Business Services,Financial Data Services,"Foster City, CA",900 Metro Center Blvd.,http://www.visa.com
239,Jacobs Engineering Group Inc.,Steven J. Demetriou,Engineering & Construction,"Engineering, Construction","Pasadena, CA",155 N. Lake Ave.,http://www.jacobs.com
240,CSX Corporation,Michael J. Ward,Transportation,Railroads,"Jacksonville, FL",500 Water St.,http://www.csx.com
241,Entergy Corporation,Leo P. Denault,Energy,Utilities: Gas and Electric,"New Orleans, LA",639 Loyola Ave.,http://www.entergy.com
242,"Facebook, Inc.",Mark Zuckerberg,Technology,Internet Services and Retailing,"Menlo Park, CA",1601 Willow Rd.,http://www.facebook.com
243,"Dominion Resources, Inc.",Thomas F. Farrell II,Energy,Utilities: Gas and Electric,"Richmond, VA",120 Tredegar St.,http://www.dom.com
244,Leucadia National Corporation,Richard B. Handler,"Food, Beverages & Tobacco",Food Production,"New York, NY",520 Madison Ave.,http://www.leucadia.com
245,"Toys ""R"" Us, Inc.",Antonio Urcelay,Retailing,Specialty Retailers: Other,"Wayne, NJ",1 Geoffrey Way,http://www.toysrusinc.com
246,DTE Energy Company,Gerard M. Anderson,Energy,Utilities: Gas and Electric,"Detroit, MI",1 Energy Plaza,http://www.dteenergy.com
247,"Ameriprise Financial, Inc.",James M. Cracchiolo,Financials,Diversified Financials,"Minneapolis, MN",55 Ameriprise Financial Center,http://www.ameriprise.com
248,V.F. Corporation,Eric C. Wiseman,Apparel,Apparel,"Greensboro, NC",105 Corporate Center Blvd.,http://www.vfc.com
249,"Praxair, Inc.",Stephen F. Angel,Chemicals,Chemicals,"Danbury, CT",39 Old Ridgebury Rd.,http://www.praxair.com
250,"J.C. Penney Company, Inc.",Marvin R. Ellison,Retailing,General Merchandisers,"Plano, TX",6501 Legacy Dr.,http://www.jcpenney.com
251,"Automatic Data Processing, Inc.",Carlos A. Rodriguez,Business Services,Diversified Outsourcing Services,"Roseland, NJ",1 ADP Blvd.,http://www.adp.com
252,"L-3 Communications Holdings, Inc.",Michael T. Strianese,Aerospace & Defense,Aerospace and Defense,"New York, NY",600 Third Ave.,http://www.l-3com.com
253,CDW Corporation,Thomas E. Richards,Technology,Information Technology Services,"Vernon Hills, IL",200 N. Milwaukee Ave.,http://www.cdw.com
254,Guardian Life Ins. Co. of America,Deanna M. Mulligan,Financials,"Insurance: Life, Health (Mutual)","New York, NY",7 Hanover Sq.,http://www.guardianlife.com
255,Xcel Energy Inc.,Benjamin G.S. Fowke III,Energy,Utilities: Gas and Electric,"Minneapolis, MN",414 Nicollet Mall,http://www.xcelenergy.com
256,Norfolk Southern Corporation,James A. Squires,Transportation,Railroads,"Norfolk, VA",3 Commercial Place,http://www.nscorp.com
257,PPL Corporation,William H. Spence,Energy,Utilities: Gas and Electric,"Allentown, PA",2 N. Ninth St.,http://www.pplweb.com
258,R.R. Donnelley & Sons Company,Thomas J. Quinlan III,Media,"Publishing, Printing","Chicago, IL",111 S. Wacker Dr.,http://www.rrdonnelley.com
259,Huntsman Corporation,Peter R. Huntsman,Chemicals,Chemicals,"Salt Lake City, UT",500 Huntsman Way,http://www.huntsman.com
260,Bed Bath & Beyond Inc.,Steven H. Temares,Retailing,Specialty Retailers: Other,"Union, NJ",650 Liberty Ave.,http://www.bedbathandbeyond.com
261,"Stanley Black & Decker, Inc.",John F. Lundgren,Household Products,"Home Equipment, Furnishings","New Britain, CT",1000 Stanley Dr.,http://www.stanleyblackanddecker.com
262,"L Brands, Inc.",Leslie H. Wexner,Retailing,Specialty Retailers: Apparel,"Columbus, OH",3 Limited Pkwy.,http://www.lb.com
263,Liberty Interactive Corporation,Gregory B. Maffei,Technology,Internet Services and Retailing,"Englewood, CO",12300 Liberty Blvd.,http://www.libertyinteractive.com
264,Farmers Insurance Exchange,Jeffrey J. Dailey,Financials,Insurance: Property and Casualty (Mutual),"Woodland Hills, CA",6301 Owensmouth Ave.,http://www.farmers.com
265,First Data Corporation,Frank J. Bisignano,Business Services,Financial Data Services,"Atlanta, GA",5565 Glenridge Connector N.E.,http://www.firstdata.com
266,The Sherwin-Williams Company,John G. Morikis,Chemicals,Chemicals,"Cleveland, OH",101 W. Prospect Ave.,http://www.sherwin.com
267,"BlackRock, Inc.",Laurence D. Fink,Financials,Securities,"New York, NY",55 E. 52nd St.,http://www.blackrock.com
268,"Voya Financial, Inc.",Rodney O. Martin Jr.,Financials,"Insurance: Life, Health (stock)","New York, NY",230 Park Ave.,http://www.voya.com
269,"Ross Stores, Inc.",Barbara Rentler,Retailing,Specialty Retailers: Apparel,"Dublin, CA",5130 Hacienda Dr.,http://www.rossstores.com
270,Sempra Energy,Debra L. Reed,Energy,Utilities: Gas and Electric,"San Diego, CA",101 Ash St.,http://www.sempra.com
271,The Estee Lauder Companies Inc.,Fabrizio Freda,Household Products,Household and Personal Products,"New York, NY",767 Fifth Ave.,http://www.elcompanies.com
272,H.J. Heinz Corporation II,Bernardo Hees,"Food, Beverages & Tobacco",Food Consumer Products,"Pittsburgh, PA",1 PPG Place,http://www.heinz.com
273,"Reinsurance Group of America, Incorporated",A. Greig Woodring,Financials,"Insurance: Life, Health (stock)","Chesterfield, MO",16600 Swingley Ridge Rd.,http://www.rgare.com
274,Public Service Enterprise Group Incorporated,Ralph Izzo,Energy,Utilities: Gas and Electric,"Newark, NJ",80 Park Plaza,http://www.pseg.com
275,Cameron International Corporation,R. Scott Rowe,Energy,"Oil and Gas Equipment, Services","Houston, TX",1333 W. Loop S.,http://www.c-a-m.com
276,Navistar International Corporation,Troy A. Clarke,Motor Vehicles & Parts,Motor Vehicles and Parts,"Lisle, IL",2701 Navistar Dr.,http://www.navistar.com
277,"CST Brands, Inc.",Kimberly S. Lubel,Retailing,Specialty Retailers: Other,"San Antonio, TX",1 Valero Way,http://www.cstbrands.com
278,State Street Corporation,Joseph L. Hooley,Financials,Commercial Banks,"Boston, MA",1 Lincoln St.,http://www.statestreet.com
279,Unum Group,Richard P. McKenney,Financials,"Insurance: Life, Health (stock)","Chattanooga, TN",1 Fountain Sq.,http://www.unum.com
280,Hilton Worldwide Holdings Inc.,Christopher J. Nassetta,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts","McLean, VA",7930 Jones Branch Dr.,http://www.hiltonworldwide.com
281,"Family Dollar Stores, Inc.",Howard R. Levine,Retailing,General Merchandisers,"Matthews, NC",10401 Monroe Rd.,http://www.familydollar.com
282,"Principal Financial Group, Inc.",Daniel J. Houston,Financials,"Insurance: Life, Health (stock)","Des Moines, IA",711 High St.,http://www.principal.com
283,Reliance Steel & Aluminum Co.,Gregg J. Mollins,Materials,Metals,"Los Angeles, CA",350 S. Grand Ave.,http://www.rsac.com
284,"Air Products & Chemicals, Inc.",Seifi Ghasemi,Chemicals,Chemicals,"Allentown, PA",7201 Hamilton Blvd.,http://www.airproducts.com
285,"Assurant, Inc.",Alan B. Colberg,Financials,Insurance: Property and Casualty (Stock),"New York, NY",28 Liberty St.,http://www.assurant.com
286,"Peter Kiewit Sons', Inc.",Bruce E. Grewcock,Engineering & Construction,"Engineering, Construction","Omaha, NE",1000 Kiewit Plaza,http://www.kiewit.com
287,"Henry Schein, Inc.",Stanley M. Bergman,Wholesalers,Wholesalers: Health Care,"Melville, NY",135 Duryea Rd.,http://www.henryschein.com
288,Cognizant Technology Solutions Corporation,Francisco D'Souza,Technology,Information Technology Services,"Teaneck, NJ",500 Frank W. Burr Blvd.,http://www.cognizant.com
289,MGM Resorts International,James J. Murren,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts","Las Vegas, NV",3600 Las Vegas Blvd. S.,http://www.mgmresorts.com
290,"W.W. Grainger, Inc.",James T. Ryan,Wholesalers,Wholesalers: Diversified,"Lake Forest, IL",100 Grainger Pkwy.,http://www.grainger.com
291,"Group 1 Automotive, Inc.",Earl J. Hesterberg,Retailing,"Automotive Retailing, Services","Houston, TX",800 Gessner Rd.,http://www.group1auto.com
292,BB&T Corporation,Kelly S. King,Financials,Commercial Banks,"Winston-Salem, NC",200 W. Second St.,http://www.bbt.com
293,WestRock Company,Steven C. Voorhees,Materials,"Packaging, Containers","Norcross, GA",504 Thrasher St.,http://www.westrock.com
