ranking,full name,ceo,sector,industry,hq location,hq address,website
193,"C. H. Robinson Worldwide, Inc.",John P. Wiehoff,Transportation,Transportation and Logistics,"Eden Prairie, Minn.",14701 Charlson Rd.,http://www.chrobinson.com
194,WestRock Company,Steven C. Voorhees,Materials,"Packaging, Containers",Atlanta,1000 Abernathy Rd.,http://www.westrock.com
195,Cognizant Technology Solutions Corporation,Francisco D'Souza,Technology,Information Technology Services,"Teaneck, N.J.",500 Frank W. Burr Blvd.,http://www.cognizant.com
196,Newell Brands Inc.,Michael B. Polk,Household Products,"Home Equipment, Furnishings","Hoboken, N.J.",221 River St.,http://www.newellbrands.com
197,CBS Corporation,Leslie Moonves,Media,Entertainment,New York City,51 W. 52nd St.,http://www.cbscorporation.com
198,Envision Healthcare Corporation,Christopher A. Holden,Health Care,Health Care: Pharmacy and Other Services,Nashville,1A Burton Hills Blvd.,http://www.evhc.net
199,Monsanto Company,Hugh Grant,Chemicals,Chemicals,St. Louis,800 N. Lindbergh Blvd.,http://www.monsanto.com
200,Aramark,Eric J. Foss,Business Services,Diversified Outsourcing Services,Philadelphia,1101 Market St.,http://www.aramark.com
201,"Applied Materials, Inc.",Gary E. Dickerson,Technology,Semiconductors and Other Electronic Components,"Santa Clara, Calif.",3050 Bowers Ave.,http://www.appliedmaterials.com
202,"Waste Management, Inc.",James C. Fish Jr.,Business Services,Waste Management,Houston,1001 Fannin St.,http://www.wm.com
203,DISH Network Corporation,W. Erik Carlson,Telecommunications,Telecommunications,"Englewood, Colo.",9601 S. Meridian Blvd.,http://www.dish.com
204,Illinois Tool Works Inc.,E. Scott Santi,Industrials,Industrial Machinery,"Glenview, Ill.",155 Harlem Ave.,http://www.itw.com
205,Lincoln National Corporation,Dennis R. Glass,Financials,"Insurance: Life, Health (stock)","Radnor, Pa.",150 N. Radnor Chester Rd.,http://www.lfg.com
206,HollyFrontier Corporation,George J. Damiris,Energy,Petroleum Refining,Dallas,2828 N. Harwood,http://www.hollyfrontier.com
207,"CBRE Group, Inc.",Robert E. Sulentic,Financials,Real estate,Los Angeles,400 S. Hope St.,http://www.cbre.com
208,Textron Inc.,Scott C. Donnelly,Aerospace & Defense,Aerospace and Defense,"Providence, R.I.",40 Westminster St.,http://www.textron.com
209,"Ross Stores, Inc.",Barbara Rentler,Retailing,Specialty Retailers: Apparel,"Dublin, Calif.",5130 Hacienda Dr.,http://www.rossstores.com
210,"Principal Financial Group, Inc.",Daniel J. Houston,Financials,"Insurance: Life, Health (stock)","Des Moines, Iowa",711 High St.,http://www.principal.com
211,"D.R. Horton, Inc.",David V. Auld,Engineering & Construction,Homebuilders,"Arlington, Texas",1341 Horton Circle,http://www.drhorton.com
212,"Marsh & McLennan Companies, Inc.",Daniel S. Glaser,Financials,Diversified Financials,New York City,1166 Ave. of the Americas,http://www.mmc.com
213,Devon Energy Corporation,David A. Hager,Energy,"Mining, Crude-Oil Production",Oklahoma City,333 W. Sheridan Ave.,http://www.devonenergy.com
214,The AES Corporation,,Energy,Utilities: Gas and Electric,"Arlington, Va.",4300 Wilson Blvd.,http://www.aes.com
215,Ecolab Inc.,Douglas M. Baker Jr.,Chemicals,Chemicals,"St. Paul, Minn.",1 Ecolab Place,http://www.ecolab.com
216,"Land O'Lakes, Inc.",Christopher J. Policinski,"Food, Beverages & Tobacco",Food Consumer Products,"Arden Hills, Minn.",4001 Lexington Ave. N.,http://www.landolakesinc.com
217,Loews Corporation,James S. Tisch,Financials,Insurance: Property and Casualty (Stock),New York City,667 Madison Ave.,http://www.loews.com
218,"Kinder Morgan, Inc.",Steven J. Kean,Energy,Pipelines,Houston,1001 Louisiana St.,http://www.kindermorgan.com
219,FirstEnergy Corp.,Charles E. Jones,Energy,Utilities: Gas and Electric,"Akron, Ohio",76 S. Main St.,http://www.firstenergycorp.com
220,Occidental Petroleum Corporation,Vicki A. Hollub,Energy,"Mining, Crude-Oil Production",Houston,5 Greenway Plaza,http://www.oxy.com
221,Viacom Inc.,Robert M. Bakish,Media,Entertainment,New York City,1515 Broadway,http://www.viacom.com
222,"PayPal Holdings, Inc.",Daniel H. Schulman,Business Services,Financial Data Services,"San Jose, Calif.",2211 N. First St.,http://www.paypal.com
223,NGL Energy Partners LP,H. Michael Krimbill,Energy,Energy,"Tulsa, Okla.",6120 S. Yale Ave.,http://www.nglenergypartners.com
224,Celgene Corporation,Mark J. Alles,Health Care,Pharmaceuticals,"Summit, N.J.",86 Morris Ave.,http://www.celgene.com
225,Arconic Inc.,Charles P. Blankenship,Aerospace & Defense,Aerospace and Defense,New York City,390 Park Ave.,http://www.arconic.com
226,Kellogg Company,Steven A. Cahillane,"Food, Beverages & Tobacco",Food Consumer Products,"Battle Creek, Mich.",1 Kellogg Sq.,http://www.kelloggcompany.com
227,Las Vegas Sands Corp.,Sheldon G. Adelson,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Las Vegas,3355 Las Vegas Blvd. S.,http://www.sands.com
228,"Stanley Black & Decker, Inc.",James M. Loree,Household Products,"Home Equipment, Furnishings","New Britain, Conn.",1000 Stanley Dr.,http://www.stanleyblackanddecker.com
229,Booking Holdings Inc,Glenn D. Fogel,Technology,Internet Services and Retailing,"Norwalk, Conn.",800 Connecticut Ave.,http://www.bookingholdings.com
230,Lennar Corporation,Richard Beckwitt,Engineering & Construction,Homebuilders,Miami,700 N.W. 107th Ave.,http://www.lennar.com
231,"L Brands, Inc.",Leslie H. Wexner,Retailing,Specialty Retailers: Apparel,"Columbus, Ohio",3 Limited Pkwy.,http://www.lb.com
232,DTE Energy Company,Gerard M. Anderson,Energy,Utilities: Gas and Electric,Detroit,1 Energy Plaza,http://www.dteenergy.com
233,"Dominion Energy, Inc.",Thomas F. Farrell II,Energy,Utilities: Gas and Electric,"Richmond, Va.",120 Tredegar St.,http://www.dominionenergy.com
234,"Reinsurance Group of America, Incorporated",Anna Manning,Financials,"Insurance: Life, Health (stock)","Chesterfield, Mo.",16600 Swingley Ridge Rd.,http://www.rgare.com
235,"J.C. Penney Company, Inc.",Marvin R. Ellison,Retailing,General Merchandisers,"Plano, Texas",6501 Legacy Dr.,http://www.jcpenney.com
236,Mastercard Incorporated,Ajay Banga,Business Services,Financial Data Services,"Purchase, N.Y.",2000 Purchase St.,http://www.mastercard.com
237,"BlackRock, Inc.",Laurence D. Fink,Financials,Securities,New York City,55 E. 52nd St.,http://www.blackrock.com
238,"Henry Schein, Inc.",Stanley M. Bergman,Wholesalers,Wholesalers: Health Care,"Melville, N.Y.",135 Duryea Rd.,http://www.henryschein.com
239,Guardian Life Ins. Co. of America,Deanna M. Mulligan,Financials,"Insurance: Life, Health (Mutual)",New York City,7 Hanover Sq.,http://www.guardianlife.com
240,Stryker Corporation,Kevin A. Lobo,Health Care,Medical Products and Equipment,"Kalamazoo, Mich.",2825 Airview Blvd.,http://www.stryker.com
241,Leucadia National Corporation,Richard B. Handler,Financials,Diversified Financials,New York City,520 Madison Ave.,http://www.leucadia.com
242,V.F. Corporation,Steven E. Rendle,Apparel,Apparel,"Greensboro, N.C.",105 Corporate Center Blvd.,http://www.vfc.com
243,"Automatic Data Processing, Inc.",Carlos A. Rodriguez,Business Services,Diversified Outsourcing Services,"Roseland, N.J.",1 ADP Blvd.,http://www.adp.com
244,Edison International,Pedro J. Pizarro,Energy,Utilities: Gas and Electric,"Rosemead, Calif.",2244 Walnut Grove Ave.,http://www.edisoninvestor.com
245,Biogen Inc.,Michel Vounatsos,Health Care,Pharmaceuticals,"Cambridge, Mass.",225 Binney St.,http://www.biogen.com
246,United States Steel Corporation,David B. Burritt,Materials,Metals,Pittsburgh,600 Grant St.,http://www.ussteel.com
247,"Core-Mark Holding Company, Inc.",Thomas B. Perkins,Wholesalers,Wholesalers: Food and Grocery,"South San Francisco, Calif.",395 Oyster Point Blvd.,http://www.core-mark.com
248,Bed Bath & Beyond Inc.,Steven H. Temares,Retailing,Specialty Retailers: Other,"Union, N.J.",650 Liberty Ave.,http://www.bedbathandbeyond.com
249,"ONEOK, Inc.",Terry K. Spencer,Energy,Pipelines,"Tulsa, Okla.",100 W. Fifth St.,http://www.oneok.com
250,BB&T Corporation,Kelly S. King,Financials,Commercial Banks,"Winston-Salem, N.C.",200 W. Second St.,http://www.bbt.com
251,"Becton, Dickinson and Company",Vincent A. Forlenza,Health Care,Medical Products and Equipment,"Franklin Lakes, N.J.",1 Becton Dr.,http://www.bd.com
252,"Ameriprise Financial, Inc.",James M. Cracchiolo,Financials,Diversified Financials,Minneapolis,55 Ameriprise Financial Center,http://www.ameriprise.com
253,Farmers Insurance Exchange,Jeffrey J. Dailey,Financials,Insurance: Property and Casualty (Mutual),"Woodland Hills, Calif.",6301 Owensmouth Ave.,http://www.farmers.com
254,First Data Corporation,Frank J. Bisignano,Business Services,Financial Data Services,New York City,225 Liberty St.,http://www.firstdata.com
255,"Consolidated Edison, Inc.",John McAvoy,Energy,Utilities: Gas and Electric,New York City,4 Irving Place,http://www.conedison.com
256,Parker-Hannifin Corporation,Thomas L. Williams,Industrials,Industrial Machinery,Cleveland,6035 Parkland Blvd.,http://www.parker.com
257,Anadarko Petroleum Corporation,R. A. Walker,Energy,"Mining, Crude-Oil Production","The Woodlands, Texas",1201 Lake Robbins Dr.,http://www.anadarko.com
258,,Fabrizio Freda,Household Products,Household and Personal Products,New York City,767 Fifth Ave.,http://www.elcompanies.com
259,State Street Corporation,Joseph L. Hooley,Financials,Commercial Banks,Boston,1 Lincoln St.,http://www.statestreet.com
260,"Tesla, Inc.",Elon Musk,Motor Vehicles & Parts,Motor Vehicles and Parts,"Palo Alto, Calif.",3500 Deer Creek Rd.,http://www.tesla.com
261,"Netflix, Inc.",Reed Hastings,Technology,Internet Services and Retailing,"Los Gatos, Calif.",100 Winchester Circle,http://www.netflix.com
262,Alcoa Corporation,Roy C. Harvey,Materials,Metals,Pittsburgh,201 Isabella St.,http://www.alcoa.com
263,Discover Financial Services,David W. Nelms,Financials,Commercial Banks,"Riverwoods, Ill.",2500 Lake Cook Rd.,http://www.discover.com
264,"Praxair, Inc.",Stephen F. Angel,Chemicals,Chemicals,"Danbury, Conn.",10 Riverview Dr.,http://www.praxair.com
265,CSX Corporation,James M. Foote,Transportation,Railroads,"Jacksonville, Fla.",500 Water St.,http://www.csx.com
266,Xcel Energy Inc.,Benjamin G.S. Fowke III,Energy,Utilities: Gas and Electric,Minneapolis,414 Nicollet Mall,http://www.xcelenergy.com
267,Unum Group,Richard P. McKenney,Financials,"Insurance: Life, Health (stock)","Chattanooga, Tenn.",1 Fountain Sq.,http://www.unum.com
268,"Universal Health Services, Inc.",Alan B. Miller,Health Care,Health Care: Medical Facilities,"King of Prussia, Pa.",367 S. Gulph Rd.,http://www.uhsinc.com
269,"NRG Energy, Inc.",Mauricio Gutierrez,Energy,Energy,"Princeton, N.J.",804 Carnegie Center,http://www.nrg.com
270,"EOG Resources, Inc.",William R. Thomas,Energy,"Mining, Crude-Oil Production",Houston,1111 Bagby St.,http://www.eogresources.com
271,Sempra Energy,J. Walker Martin,Energy,Utilities: Gas and Electric,San Diego,488 Eighth Ave.,http://www.sempra.com
272,"Toys ""R"" Us, Inc.",David A. Brandon,Retailing,Specialty Retailers: Other,"Wayne, N.J.",1 Geoffrey Way,http://www.toysrusinc.com
273,"Group 1 Automotive, Inc.",Earl J. Hesterberg,Retailing,"Automotive Retailing, Services",Houston,800 Gessner Rd.,http://www.group1auto.com
274,Entergy Corporation,Leo P. Denault,Energy,Utilities: Gas and Electric,New Orleans,639 Loyola Ave.,http://www.entergy.com
275,Molson Coors Brewing Company,Mark R. Hunter,"Food, Beverages & Tobacco",Beverages,Denver,1801 California St.,http://www.molsoncoors.com
276,"L3 Technologies, Inc.",Christopher E. Kubasik,Aerospace & Defense,Aerospace and Defense,New York City,600 Third Ave.,http://www.l3t.com
277,Ball Corporation,John A. Hayes,Materials,"Packaging, Containers","Broomfield, Colo.",10 Longs Peak Dr.,http://www.ball.com
278,"AutoZone, Inc.",William C. Rhodes III,Retailing,Specialty Retailers: Other,Memphis,123 S. Front St.,http://www.autozone.com
279,Murphy USA Inc.,R. Andrew Clyde,Retailing,Specialty Retailers: Other,"El Dorado, Ark.",200 Peach St.,http://www.murphyusa.com
280,MGM Resorts International,James J. Murren,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Las Vegas,3600 Las Vegas Blvd. S.,http://www.mgmresorts.com
281,"Office Depot, Inc.",Gerry P. Smith,Retailing,Specialty Retailers: Other,"Boca Raton, Fla.",6600 N. Military Trail,http://www.officedepot.com
282,Huntsman Corporation,Peter R. Huntsman,Chemicals,Chemicals,"The Woodlands, Texas",10003 Woodloch Forest Dr.,http://www.huntsman.com
283,Baxter International Inc.,,Health Care,Medical Products and Equipment,"Deerfield, Ill.",1 Baxter Pkwy.,http://www.baxter.com
284,Norfolk Southern Corporation,James A. Squires,Transportation,Railroads,"Norfolk, Va.",3 Commercial Place,http://www.norfolksouthern.com
285,"salesforce.com, inc.",Marc R. Benioff,Technology,Computer Software,San Francisco,1 Market St.,http://www.salesforce.com
286,Laboratory Corporation of America Holdings,David P. King,Health Care,Health Care: Pharmacy and Other Services,"Burlington, N.C.",358 S. Main St.,http://www.labcorp.com
287,"W.W. Grainger, Inc.",Donald G. MacPherson,Wholesalers,Wholesalers: Diversified,"Lake Forest, Ill.",100 Grainger Pkwy.,http://www.grainger.com
288,"Qurate Retail, Inc.",Gregory B. Maffei,Retailing,Internet Services and Retailing,"Englewood, Colo.",12300 Liberty Blvd.,http://www.libertyinteractive.com
289,"Autoliv, Inc.",Jan Carlson,Motor Vehicles & Parts,Motor Vehicles and Parts,"Auburn Hills, Mich.",1320 Pacific Dr.,http://www.autoliv.com
290,"Live Nation Entertainment, Inc.",Michael Rapino,Media,Entertainment,"Beverly Hills, Calif.",9348 Civic Center Dr.,http://www.livenationentertainment.com
291,Xerox Corporation,Jeffrey Jacobson,Technology,"Computers, Office Equipment","Norwalk, Conn.",201 Merritt Seven,http://www.xerox.com
292,"Leidos Holdings, Inc.",Roger A. Krone,Technology,Information Technology Services,"Reston, Va.",11951 Freedom Dr.,http://www.leidos.com
293,Corning Incorporated,Wendell P. Weeks,Industrials,"Electronics, Electrical Equip.","Corning, N.Y.",1 Riverfront Plaza,http://www.corning.com
294,"Lithia Motors, Inc.",Bryan B. DeBoer,Retailing,"Automotive Retailing, Services","Medford, Ore.",150 N. Bartlett St.,http://www.lithiainvestorrelations.com
295,"Expedia Group, Inc.",Mark D. Okerstrom,Retailing,Internet Services and Retailing,"Bellevue, Wash.",333 108th Ave. N.E.,http://www.expediagroup.com
296,"Republic Services, Inc.",Donald W. Slager,Business Services,Waste Management,Phoenix,18500 N. Allied Way,http://www.republicservices.com
297,Jacobs Engineering Group Inc.,Steven J. Demetriou,Engineering & Construction,"Engineering, Construction",Dallas,1999 Bryan St.,http://www.jacobs.com
298,"Sonic Automotive, Inc",B. Scott Smith,Retailing,"Automotive Retailing, Services","Charlotte, N.C.",4401 Colwick Rd.,http://www.sonicautomotive.com
299,Ally Financial Inc.,Jeffrey J. Brown,Financials,Diversified Financials,Detroit,500 Woodward Ave.,http://www.ally.com
300,LKQ Corporation,Dominick P. Zarcone,Wholesalers,Wholesalers: Diversified,Chicago,500 W. Madison St.,http://www.lkqcorp.com
301,BorgWarner Inc.,James R. Verrier,Motor Vehicles & Parts,Motor Vehicles and Parts,"Auburn Hills, Mich.",3850 Hamlin Rd.,http://www.borgwarner.com
302,"Fidelity National Financial, Inc.",Raymond R. Quirk,Financials,Insurance: Property and Casualty (Stock),"Jacksonville, Fla.",601 Riverside Ave.,http://www.fnf.com
303,"SunTrust Banks, Inc.",William H. Rogers Jr.,Financials,Commercial Banks,Atlanta,303 Peachtree St. N.E.,http://www.suntrust.com
304,IQVIA Holdings Inc.,Ari Bousbib,Health Care,Health Care: Pharmacy and Other Services,"Durham, N.C.",4820 Emperor Blvd.,http://www.iqvia.com
305,Reliance Steel & Aluminum Co.,Gregg J. Mollins,Materials,Metals,Los Angeles,350 S. Grand Ave.,http://www.rsac.com
306,NVIDIA Corporation,Jen-Hsun Huang,Technology,Semiconductors and Other Electronic Components,"Santa Clara, Calif.",2788 San Tomas Expressway,http://www.nvidia.com
307,"Voya Financial, Inc.",Rodney O. Martin Jr.,Financials,Diversified Financials,New York City,230 Park Ave.,http://www.voya.com
308,"CenterPoint Energy, Inc.",Scott M. Prochazka,Energy,Utilities: Gas and Electric,Houston,1111 Louisiana St.,http://www.centerpointenergy.com
309,eBay Inc.,Devin N. Wenig,Technology,Internet Services and Retailing,"San Jose, Calif.",2025 Hamilton Ave.,http://www.ebay.com
310,Eastman Chemical Company,Mark J. Costa,Chemicals,Chemicals,"Kingsport, Tenn.",200 S. Wilcox Dr.,http://www.eastman.com
311,American Family Insurance Group,Jack C. Salzwedel,Financials,Insurance: Property and Casualty (Stock),"Madison, Wis.",6000 American Pkwy.,http://www.amfam.com
312,"Steel Dynamics, Inc.",Mark D. Millett,Materials,Metals,"Fort Wayne, Ind.",7575 W. Jefferson Blvd.,http://www.steeldynamics.com
313,Pacific Life,James T. Morris,Financials,"Insurance: Life, Health (stock)","Newport Beach, Calif.",700 Newport Center Dr.,http://www.pacificlife.com
314,Chesapeake Energy Corporation,Robert D. Lawler,Energy,"Mining, Crude-Oil Production",Oklahoma City,6100 N. Western Ave.,http://www.chk.com
315,"Mohawk Industries, Inc.",Jeffrey S. Lorberbaum,Household Products,"Home Equipment, Furnishings","Calhoun, Ga.",160 S. Industrial Blvd.,http://www.mohawkind.com
316,"Quanta Services, Inc.",Earl C. Austin Jr.,Engineering & Construction,"Engineering, Construction",Houston,2800 Post Oak Blvd.,http://www.quantaservices.com
317,"Advance Auto Parts, Inc.",Thomas R. Greco,Retailing,Specialty Retailers: Other,"Roanoke, Va.",5008 Airport Rd.,http://www.advanceautoparts.com
318,"Owens & Minor, Inc.",P. Cody Phipps,Wholesalers,Wholesalers: Health Care,"Mechanicsville, Va.",9120 Lockwood Blvd.,http://www.owens-minor.com
319,"United Natural Foods, Inc.",Steven L. Spinner,Wholesalers,Wholesalers: Food and Grocery,"Providence, R.I.",313 Iron Horse Way,http://www.unfi.com
320,Tenneco Inc.,Brian J. Kesseler,Motor Vehicles & Parts,Motor Vehicles and Parts,"Lake Forest, Ill.",500 N. Field Dr.,http://www.tenneco.com
321,"Conagra Brands, Inc.",Sean M. Connolly,"Food, Beverages & Tobacco",Food Consumer Products,Chicago,222 W. Merchandise Mart Plaza,http://www.conagrabrands.com
322,GameStop Corp.,Daniel A. DeMatteo,Retailing,Specialty Retailers: Other,"Grapevine, Texas",625 Westport Pkwy.,http://www.gamestop.com
323,Hormel Foods Corporation,James P. Snee,"Food, Beverages & Tobacco",Food Consumer Products,"Austin, Minn.",1 Hormel Place,http://www.hormelfoods.com
324,Hilton Worldwide Holdings Inc.,Christopher J. Nassetta,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","McLean, Va.",7930 Jones Branch Dr.,http://www.hiltonworldwide.com
325,Frontier Communications Corporation,Daniel J. McCarthy,Telecommunications,Telecommunications,"Norwalk, Conn.",401 Merritt Seven,http://www.frontier.com
326,"Fidelity National Information Services, Inc.",Gary A. Norcross,Business Services,Financial Data Services,"Jacksonville, Fla.",601 Riverside Ave.,http://www.fisglobal.com
327,Public Service Enterprise Group Incorporated,Ralph Izzo,Energy,Utilities: Gas and Electric,"Newark, N.J.",80 Park Plaza,http://www.pseg.com
328,Boston Scientific Corporation,Michael F. Mahoney,Health Care,Medical Products and Equipment,"Marlborough, Mass.",300 Boston Scientific Way,http://www.bostonscientific.com
329,"O'Reilly Automotive, Inc.",Gregory D. Johnson,Retailing,Specialty Retailers: Other,"Springfield, Mo.",233 S. Patterson Ave.,http://www.oreillyauto.com
330,The Charles Schwab Corporation,Walter W. Bettinger II,Financials,Securities,San Francisco,211 Main St.,http://www.aboutschwab.com
331,Global Partners LP,Eric Slifka,Wholesalers,Wholesalers: Diversified,"Waltham, Mass.",800 South St.,http://www.globalp.com
332,PVH Corp.,Emanuel Chirico,Apparel,Apparel,New York City,200 Madison Ave.,http://www.pvh.com
333,"Avis Budget Group, Inc.",Larry D. De Shon,Retailing,"Automotive Retailing, Services","Parsippany, N.J.",6 Sylvan Way,http://www.avisbudgetgroup.com
334,Targa Resources Corp.,Joe Bob Perkins,Energy,Pipelines,Houston,811 Louisiana St.,http://www.targaresources.com
335,"Hertz Global Holdings, Inc.",Kathryn V. Marinello,Retailing,"Automotive Retailing, Services","Estero, Fla.",8501 Williams Rd.,http://www.hertz.com
336,Calpine Corporation,John B. Hill III,Energy,Energy,Houston,717 Texas Ave.,http://www.calpine.com
337,Mutual of Omaha Insurance Company,James T. Blackledge,Financials,"Insurance: Life, Health (stock)",Omaha,Mutual of Omaha Plaza,http://www.mutualofomaha.com
338,"Crown Holdings, Inc.",Timothy J. Donahue,Materials,"Packaging, Containers",Philadelphia,1 Crown Way,http://www.crowncork.com
339,"Peter Kiewit Sons', Inc.",Bruce E. Grewcock,Engineering & Construction,"Engineering, Construction",Omaha,1000 Kiewit Plaza,http://www.kiewit.com
340,"Dick's Sporting Goods, Inc.",Edward W. Stack,Retailing,Specialty Retailers: Other,"Coraopolis, Pa.",345 Court St.,http://www.dicks.com
341,"PulteGroup, Inc.",Ryan R. Marshall,Engineering & Construction,Homebuilders,Atlanta,3350 Peachtree Rd. N.E.,http://www.pultegroupinc.com
342,Navistar International Corporation,Troy A. Clarke,Industrials,Construction and Farm Machinery,"Lisle, Ill.",2701 Navistar Dr.,http://www.navistar.com
343,Thrivent Financial for Lutherans,Bradford L. Hewitt,Financials,"Insurance: Life, Health (Mutual)",Minneapolis,625 Fourth Ave. S.,http://www.thrivent.com
344,"DCP Midstream, LP",Wouter T. van Kempen,Energy,Pipelines,Denver,370 17th St.,http://www.dcpmidstream.com
345,"Air Products & Chemicals, Inc.",Seifi Ghasemi,Chemicals,Chemicals,"Allentown, Pa.",7201 Hamilton Blvd.,http://www.airproducts.com
346,Veritiv Corp,Mary A. Laschinger,Wholesalers,Wholesalers: Diversified,Atlanta,1000 Abernathy Rd. N.E.,http://www.veritivcorp.com
347,AGCO Corporation,Martin H. Richenhagen,Industrials,Construction and Farm Machinery,"Duluth, Ga.",4205 River Green Pkwy.,http://www.agcocorp.com
348,"Genworth Financial, Inc.",Thomas J. McInerney,Financials,"Insurance: Life, Health (stock)","Richmond, Va.",6620 W. Broad St.,http://www.genworth.com
349,Univar Inc.,David C. Jukes,Wholesalers,Wholesalers: Diversified,"Downers Grove, Ill.",3075 Highland Pkwy.,http://www.univar.com
350,News Corporation,Robert J. Thomson,Media,"Publishing, Printing",New York City,1211 Ave. of the Americas,http://www.newscorp.com
351,SpartanNash Company,David M. Staples,Wholesalers,Wholesalers: Food and Grocery,"Byron Center, Mich.",850 76th St. S.W.,http://www.spartannash.com
352,Westlake Chemical Corporation,Albert Yuan Chao,Chemicals,Chemicals,Houston,2801 Post Oak Blvd.,http://www.westlake.com
353,"The Williams Companies, Inc.",Alan S. Armstrong,Energy,Energy,"Tulsa, Okla.",1 Williams Center,http://www.williams.com
354,Lam Research Corporation,Martin B. Anstice,Technology,Semiconductors and Other Electronic Components,"Fremont, Calif.",4650 Cushing Pkwy.,http://www.lamresearch.com
355,"Alaska Air Group, Inc.",Bradley D. Tilden,Transportation,Airlines,Seattle,19300 International Blvd.,http://www.alaskaair.com
356,Jones Lang LaSalle Incorporated,Christian Ulbrich,Financials,Real estate,Chicago,200 E. Randolph Dr.,http://www.jll.com
357,Anixter International Inc.,Robert J. Eck,Wholesalers,Wholesalers: Electronics and Office Equipment,"Glenview, Ill.",2301 Patriot Blvd.,http://www.anixter.com
358,Campbell Soup Company,Denise M. Morrison,"Food, Beverages & Tobacco",Food Consumer Products,"Camden, N.J.",1 Campbell Place,http://www.campbellsoupcompany.com
359,"The Interpublic Group of Companies, Inc.",Michael I. Roth,Business Services,"Advertising, marketing",New York City,909 Third Ave.,http://www.interpublic.com
360,Dover Corporation,Richard J. Tobin,Industrials,Industrial Machinery,"Downers Grove, Ill.",3005 Highland Pkwy.,http://www.dovercorporation.com
361,"Zimmer Biomet Holdings, Inc.",Bryan C. Hanson,Health Care,Medical Products and Equipment,"Warsaw, Ind.",345 E. Main St.,http://www.zimmerbiomet.com
362,Dean Foods Company,Ralph P. Scozzafava,"Food, Beverages & Tobacco",Food Consumer Products,Dallas,2711 N. Haskell Ave.,http://www.deanfoods.com
363,"Foot Locker, Inc.",Richard A. Johnson,Retailing,Specialty Retailers: Apparel,New York City,330 W. 34th St.,http://www.footlocker-inc.com
364,Eversource Energy,James J. Judge,Energy,Utilities: Gas and Electric,"Springfield, Mass.",300 Cadwell Dr.,http://www.eversource.com
365,Alliance Data Systems Corporation,Edward J. Heffernan,Business Services,Financial Data Services,"Plano, Texas",7500 Dallas Pkwy.,http://www.alliancedata.com
366,Fifth Third Bancorp,Greg D. Carmichael,Financials,Commercial Banks,Cincinnati,38 Fountain Square Plaza,http://www.53.com
367,Quest Diagnostics Incorporated,Stephen H. Rusckowski,Health Care,Health Care: Pharmacy and Other Services,"Secaucus, N.J.",500 Plaza Dr.,http://www.questdiagnostics.com
368,"EMCOR Group, Inc.",Anthony J. Guzzi,Engineering & Construction,"Engineering, Construction","Norwalk, Conn.",301 Merritt Seven,http://www.emcorgroup.com
369,W.R. Berkley Corporation,W. Robert Berkley Jr.,Financials,Insurance: Property and Casualty (Stock),"Greenwich, Conn.",475 Steamboat Rd.,http://www.wrberkley.com
370,"WESCO International, Inc.",John J. Engel,Wholesalers,Wholesalers: Diversified,Pittsburgh,225 W. Station Square Dr.,http://www.wesco.com
371,Coty Inc.,Camillo Pane,Household Products,Household and Personal Products,New York City,350 Fifth Ave.,http://www.coty.com
372,"WEC Energy Group, Inc.",Gale E. Klappa,Energy,Utilities: Gas and Electric,Milwaukee,231 W. Michigan St.,http://www.wecenergygroup.com
373,Masco Corporation,Keith J. Allman,Household Products,"Home Equipment, Furnishings","Livonia, Mich.",17450 College Pkwy.,http://www.masco.com
374,DXC Technology Company,J. Michael Lawrie,Technology,Information Technology Services,"Tysons, Va.",1775 Tysons Blvd.,http://www.dxc.technology
375,Auto-Owners Insurance Group,Jeffrey S. Tagsold,Financials,Insurance: Property and Casualty (Mutual),"Lansing, Mich.",6101 Anacapri Blvd.,http://www.auto-owners.com
376,"The Jones Financial Companies, L.L.L.P.",James D. Weddle,Financials,Securities,"Des Peres, Mo.",12555 Manchester Rd.,http://www.edwardjones.com
377,Liberty Media Corporation,Gregory B. Maffei,Media,Entertainment,"Englewood, Colo.",12300 Liberty Blvd.,http://www.libertymedia.com
378,Erie Insurance Group,Timothy G. NeCastro,Financials,Insurance: Property and Casualty (Mutual),"Erie, Pa.",100 Erie Insurance Place,http://www.erieinsurance.com
379,The Hershey Company,Michele G. Buck,"Food, Beverages & Tobacco",Food Consumer Products,"Hershey, Pa.",100 Crystal A Dr.,http://www.thehersheycompany.com
380,PPL Corporation,William H. Spence,Energy,Utilities: Gas and Electric,"Allentown, Pa.",2 N. Ninth St.,http://www.pplweb.com
381,"Huntington Ingalls Industries, Inc.",C. Michael Petters,Aerospace & Defense,Aerospace and Defense,"Newport News, Va.",4101 Washington Ave.,http://www.huntingtoningalls.com%20
382,The Mosaic Company,James C. O'Rourke,Chemicals,Chemicals,"Plymouth, Minn.",3033 Campus Dr.,http://www.mosaicco.com
383,The J.M. Smucker Company,Mark T. Smucker,"Food, Beverages & Tobacco",Food Consumer Products,"Orrville, Ohio",1 Strawberry Lane,http://www.jmsmucker.com
