Rank,Title,Previous Rank,CEO,Address,Website
77,"Plains All American Pipeline, L.P.",87,Greg L. Armstrong,"333 Clay St., Houston, TX 77002",www.paalp.com
78,Honeywell International Inc.,77,David M. Cote,"101 Columbia Rd., Morris Township, NJ 7962",www.honeywell.com
79,"United Continental Holdings, Inc.",76,Jeffery A. Smisek,"233 S. Wacker Dr., Chicago, IL 60606",www.unitedcontinentalholdings.com
80,Oracle Corporation,82,Lawrence J. Ellison,"500 Oracle Pkwy., Redwood City, CA 94065",www.oracle.com
81,Liberty Mutual Holding Company Inc.,84,David H. Long,"175 Berkeley St., Boston, MA 2116",www.libertymutual.com
82,"HCA Holdings, Inc.",94,Richard M. Bracken,"1 Park Plaza, Nashville, TN 37203",www.hcahealthcare.com
83,"Delta Air Lines, Inc.",83,Richard H. Anderson,"1030 Delta Blvd., Atlanta, GA 30320",www.delta.com
84,Aetna Inc.,89,Mark T. Bertolini,"151 Farmington Ave., Hartford, CT 6156",www.aetna.com
85,Deere & Company,97,Samuel R. Allen,"1 John Deere Place, Moline, IL 61265",www.deere.com
86,Supervalu Inc.,75,Sam K. Duncan,"7075 Flying Cloud Dr., Eden Prairie, MN 55344",www.supervalu.com
87,Sprint Nextel Corporation,90,Daniel R. Hesse,"6200 Sprint Pkwy., Overland Park, KS 66251",www.sprint.com
88,"Mondelez International, Inc.",50,Irene B. Rosenfeld,"3 Parkway N., Deerfield, IL 60015",www.mondelezinternational.com
89,New York Life Insurance Company,86,Theodore A. Mathas,"51 Madison Ave., New York, NY 10010",www.newyorklife.com
90,American Express Company,95,Kenneth I. Chenault,"200 Vesey St., New York, NY 10285",www.americanexpress.com
91,News Corporation,91,K. Rupert Murdoch,"1211 Ave. of the Americas, New York, NY 10036",www.21cf.com
92,The Allstate Corporation,93,Thomas J. Wilson,"2775 Sanders Rd., Northbrook, IL 60062",www.allstate.com
93,"Tyson Foods, Inc.",96,Donnie Smith,"2200 Don Tyson Pkwy., Springdale, AR 72762",www.tysonfoods.com
94,Massachusetts Mutual Life Insurance Company,121,Roger W. Crandall,"1295 State St., Springfield, MA 1111",www.massmutual.com
95,Tesoro Corporation,101,Gregory J. Goff,"19100 Ridgewood Pkwy., San Antonio, TX 78259",www.tsocorp.com
96,Morgan Stanley,68,James P. Gorman,"1585 Broadway, New York, NY 10036",www.morganstanley.com
97,Teachers Insurance and Annuity Association College Retiremen,88,Roger W. Ferguson Jr.,"730 Third Ave., New York, NY 10017",www.tiaa-cref.org
98,General Dynamics Corporation,92,Phebe N. Novakovic,"2941 Fairview Park Dr., Falls Church, VA 22042",www.generaldynamics.com
99,Philip Morris International Inc.,99,-,"120 Park Ave., New York, NY 10017",www.pmi.com
100,Nationwide Mutual Insurance Co.,100,Stephen S. Rasmussen,"1 Nationwide Blvd., Columbus, OH 43215",www.nationwide.com
101,3M Company,102,Inge G. Thulin,"3M Center, St. Paul, MN 55144",www.3m.com
102,DIRECTV,105,Michael D. White,"2230 E. Imperial Hwy., El Segundo, CA 90245",www.directv.com
103,CIGNA Corporation,130,David M. Cordani,"900 Cottage Grove Rd., Bloomfield, CT 6002",www.cigna.com
104,Murphy Oil Corporation,98,Steven A. Coss_,"200 Peach St., El Dorado, AR 71730",www.murphyoilcorp.com
105,Time Warner Inc.,103,Jeffrey L. Bewkes,"1 Time Warner Center, New York, NY 10019",www.timewarner.com
106,Halliburton Company,118,David J. Lesar,"3000 N. Sam Houston Pkwy E., Houston, TX 77032",www.halliburton.com
107,International Paper Company,111,John V. Faraci,"6400 Poplar Ave., Memphis, TN 38197",www.internationalpaper.com
108,"Publix Super Markets, Inc.",106,William E. Crenshaw,"3300 Publix Corporate Pkwy., Lakeland, FL 33811",www.publix.com
109,"Macy’s, Inc.",110,Terry J. Lundgren,"7 W. Seventh St., Cincinnati, OH 45202",www.macysinc.com
110,Fluor Corporation,124,David T. Seaton,"6700 Las Colinas Blvd., Irving, TX 75039",www.fluor.com
111,McDonald’s Corporation,107,Donald Thompson,"1 McDonald's Plaza, Oak Brook, IL 60523",www.mcdonalds.com
112,"The Hartford Financial Services Group, Inc.",131,Liam E. McGee,"1 Hartford Plaza, Hartford, CT 6155",www.thehartford.com
113,Rite Aid Corporation,113,John T. Standley,"30 Hunter Lane, Camp Hill, PA 17011",www.riteaid.com
114,"Northwestern Mutual Life Insurance Company,Inc.",116,John E. Schlifske,"720 E. Wisconsin Ave., Milwaukee, WI 53202",www.northwesternmutual.com
115,"The TJX Companies, Inc.",125,Carol M. Meyrowitz,"770 Cochituate Rd., Framingham, MA 1701",www.tjx.com
116,"The Travelers Companies, Inc.",112,Jay S. Fishman,"485 Lexington Ave., New York, NY 10017",www.travelers.com
117,"Avnet, Inc.",108,Richard Hamada,"2211 S. 47th St., Phoenix, AZ 85034",www.avnet.com
118,Aflac Incorporated,128,Daniel P. Amos,"1932 Wynnton Rd., Columbus, GA 31999",www.aflac.com
119,Tech Data Corporation,109,Robert M. Dutkowsky,"5350 Tech Data Dr., Clearwater, FL 33760",www.techdata.com
120,Northrop Grumman Corporation,104,Wesley G. Bush,"2980 Fairview Park Dr., Falls Church, VA 22042",www.northropgrumman.com
121,AMR Corporation,123,Thomas W. Horton,"4333 Amon Carter Blvd., Fort Worth, TX 76155",www.aa.com
122,"Staples, Inc.",114,Ronald L. Sargent,"500 Staples Dr., Framingham, MA 1702",www.staples.com
123,Emerson Electric Co.,120,David N. Farr,"8000 W. Florissant Ave., St. Louis, MO 63136",www.emerson.com
124,Raytheon Company,117,William H. Swanson,"870 Winter St., Waltham, MA 2451",www.raytheon.com
125,Occidental Petroleum Corporation,122,Stephen I. Chazen,"10889 Wilshire Blvd., Los Angeles, CA 90024",www.oxy.com
126,"Nike, Inc.",136,Mark G. Parker,"1 Bowerman Dr., Beaverton, OR 97005",www.nikeinc.com
127,Capital One Financial Corporation,148,Richard D. Fairbank,"1680 Capital One Dr., McLean, VA 22102",www.capitalone.com
128,Alcoa Inc.,115,Klaus Kleinfeld,"390 Park Ave., New York, NY 10022",www.alcoa.com
129,Exelon Corporation,145,Christopher M. Crane,"10 S. Dearborn St., Chicago, IL 60603",www.exeloncorp.com
130,Eli Lilly and Company,119,John C. Lechleiter,"Lilly Corporate Center, Indianapolis, IN 46285",www.lilly.com
131,Xerox Corporation,127,Ursula M. Burns,"45 Glover Ave., Norwalk, CT 6850",www.xerox.com
132,U.S. Bancorp,132,Richard K. Davis,"800 Nicollet Mall, Minneapolis, MN 55402",www.usbank.com
133,EMC Corporation,139,Joseph M. Tucci,"176 South St., Hopkinton, MA 1748",www.emc.com
134,Time Warner Cable Inc.,142,Glenn A. Britt,"60 Columbus Circle, New York, NY 10023",www.twc.com
135,Baker Hughes Incorporated,141,Martin S. Craighead,"2929 Allen Pkwy., Houston, TX 77019",www.bakerhughes.com
136,Kimberly-Clark Corporation,137,Thomas J. Falk,"351 Phelps Dr., Irving, TX 75038",www.kimberly-clark.com
137,The Goodyear Tire & Rubber Company,126,Richard J. Kramer,"200 Innovation Way, Akron, OH 44316",www.goodyear.com
138,Union Pacific Corporation,143,John J. Koraleski,"1400 Douglas St., Omaha, NE 68179",www.up.com
139,United Services Automobile Association,144,Josue Robles Jr.,"9800 Fredericksburg Rd., San Antonio, TX 78288",www.usaa.com
140,ManpowerGroup Inc.,129,Jeffrey A. Joerres,"100 Manpower Place, Milwaukee, WI 53212",www.manpowergroup.com
